sku,title,subtitle,buyer,price_hint,currency,download_url,download_page_url,preview_url,worksheet_url,checklist_url,cover_url,seller_copy_url,support_page_url,pay_what_you_can_url,branded_product_url,branded_support_url,branded_support_intent_url,monetization_destination_type,monetization_destination_url,store_connected,support_connected,topic_labels,topic_urls,tags,fulfillment,status
das-2026-06-09-daily-proof-log,Daily Proof Log,A receipt-style log for recording visible proof of work without overexplaining the whole day.,"Solo workers who need evidence of progress for themselves, clients, or future handoff.",$3 to $9 digital pack,USD,https://x26dotapp.github.io/daily-autodigital-shelf/downloads/2026-06-09-daily-proof-log.zip,https://x26dotapp.github.io/daily-autodigital-shelf/downloads/2026-06-09-daily-proof-log.html,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-06-09-daily-proof-log/,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-06-09-daily-proof-log/printable.html,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-06-09-daily-proof-log/checklist.html,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-06-09-daily-proof-log/cover.svg,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-06-09-daily-proof-log/seller-copy.md,https://x26dotapp.github.io/daily-autodigital-shelf/support.html,https://x26dotapp.github.io/daily-autodigital-shelf/pay-what-you-can.html,https://www.calmsprout.com/daily-shelf/products/2026-06-09-daily-proof-log,https://www.calmsprout.com/daily-shelf/products/2026-06-09-daily-proof-log/support,https://www.calmsprout.com/daily-shelf/products/2026-06-09-daily-proof-log/support/go,support,https://gift.calmsprout.com,False,True,Small Business Ops|Home Admin|Digital Product Prep|Cleanup And Reset,https://x26dotapp.github.io/daily-autodigital-shelf/topics/small-business-ops.html|https://x26dotapp.github.io/daily-autodigital-shelf/topics/home-admin.html|https://x26dotapp.github.io/daily-autodigital-shelf/topics/digital-product-prep.html|https://x26dotapp.github.io/daily-autodigital-shelf/topics/cleanup-and-reset.html,"digital download,printable worksheet,planner,checklist,low maintenance,daily,proof,log",digital download,ready for external store import; checkout not connected
das-2026-06-08-project-rescue-map,Project Rescue Map,"A one-page map for rescuing a messy project by separating assets, blockers, risks, and next moves.",Builders and operators who need to recover a project without starting over.,$3 to $9 digital pack,USD,https://x26dotapp.github.io/daily-autodigital-shelf/downloads/2026-06-08-project-rescue-map.zip,https://x26dotapp.github.io/daily-autodigital-shelf/downloads/2026-06-08-project-rescue-map.html,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-06-08-project-rescue-map/,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-06-08-project-rescue-map/printable.html,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-06-08-project-rescue-map/checklist.html,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-06-08-project-rescue-map/cover.svg,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-06-08-project-rescue-map/seller-copy.md,https://x26dotapp.github.io/daily-autodigital-shelf/support.html,https://x26dotapp.github.io/daily-autodigital-shelf/pay-what-you-can.html,https://www.calmsprout.com/daily-shelf/products/2026-06-08-project-rescue-map,https://www.calmsprout.com/daily-shelf/products/2026-06-08-project-rescue-map/support,https://www.calmsprout.com/daily-shelf/products/2026-06-08-project-rescue-map/support/go,support,https://gift.calmsprout.com,False,True,Digital Product Prep|Cleanup And Reset,https://x26dotapp.github.io/daily-autodigital-shelf/topics/digital-product-prep.html|https://x26dotapp.github.io/daily-autodigital-shelf/topics/cleanup-and-reset.html,"digital download,printable worksheet,planner,checklist,low maintenance,project,rescue,map",digital download,ready for external store import; checkout not connected
das-2026-06-07-email-triage,Email Triage Sprint,A 15-minute inbox worksheet for finding the few messages that actually need action.,People who avoid inboxes because every message feels equally urgent.,$3 to $9 digital pack,USD,https://x26dotapp.github.io/daily-autodigital-shelf/downloads/2026-06-07-email-triage.zip,https://x26dotapp.github.io/daily-autodigital-shelf/downloads/2026-06-07-email-triage.html,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-06-07-email-triage/,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-06-07-email-triage/printable.html,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-06-07-email-triage/checklist.html,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-06-07-email-triage/cover.svg,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-06-07-email-triage/seller-copy.md,https://x26dotapp.github.io/daily-autodigital-shelf/support.html,https://x26dotapp.github.io/daily-autodigital-shelf/pay-what-you-can.html,https://www.calmsprout.com/daily-shelf/products/2026-06-07-email-triage,https://www.calmsprout.com/daily-shelf/products/2026-06-07-email-triage/support,https://www.calmsprout.com/daily-shelf/products/2026-06-07-email-triage/support/go,support,https://gift.calmsprout.com,False,True,Digital Product Prep|Cleanup And Reset,https://x26dotapp.github.io/daily-autodigital-shelf/topics/digital-product-prep.html|https://x26dotapp.github.io/daily-autodigital-shelf/topics/cleanup-and-reset.html,"digital download,printable worksheet,planner,checklist,low maintenance,email,triage,sprint",digital download,ready for external store import; checkout not connected
das-2026-06-06-decision-parking-lot,Decision Parking Lot,A worksheet for parking unresolved decisions so they stop interrupting the current task.,People who get pulled away by unresolved choices and need a simple holding place.,$3 to $9 digital pack,USD,https://x26dotapp.github.io/daily-autodigital-shelf/downloads/2026-06-06-decision-parking-lot.zip,https://x26dotapp.github.io/daily-autodigital-shelf/downloads/2026-06-06-decision-parking-lot.html,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-06-06-decision-parking-lot/,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-06-06-decision-parking-lot/printable.html,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-06-06-decision-parking-lot/checklist.html,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-06-06-decision-parking-lot/cover.svg,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-06-06-decision-parking-lot/seller-copy.md,https://x26dotapp.github.io/daily-autodigital-shelf/support.html,https://x26dotapp.github.io/daily-autodigital-shelf/pay-what-you-can.html,https://www.calmsprout.com/daily-shelf/products/2026-06-06-decision-parking-lot,https://www.calmsprout.com/daily-shelf/products/2026-06-06-decision-parking-lot/support,https://www.calmsprout.com/daily-shelf/products/2026-06-06-decision-parking-lot/support/go,support,https://gift.calmsprout.com,False,True,Digital Product Prep,https://x26dotapp.github.io/daily-autodigital-shelf/topics/digital-product-prep.html,"digital download,printable worksheet,planner,checklist,low maintenance,decision,parking,lot",digital download,ready for external store import; checkout not connected
das-2026-06-05-tiny-launch-checklist,Tiny Launch Checklist,"A compact launch checklist for publishing a small page, pack, or offer without waiting for perfect.",People with useful work stuck in draft mode who need a small publish path.,$3 to $9 digital pack,USD,https://x26dotapp.github.io/daily-autodigital-shelf/downloads/2026-06-05-tiny-launch-checklist.zip,https://x26dotapp.github.io/daily-autodigital-shelf/downloads/2026-06-05-tiny-launch-checklist.html,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-06-05-tiny-launch-checklist/,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-06-05-tiny-launch-checklist/printable.html,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-06-05-tiny-launch-checklist/checklist.html,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-06-05-tiny-launch-checklist/cover.svg,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-06-05-tiny-launch-checklist/seller-copy.md,https://x26dotapp.github.io/daily-autodigital-shelf/support.html,https://x26dotapp.github.io/daily-autodigital-shelf/pay-what-you-can.html,https://www.calmsprout.com/daily-shelf/products/2026-06-05-tiny-launch-checklist,https://www.calmsprout.com/daily-shelf/products/2026-06-05-tiny-launch-checklist/support,https://www.calmsprout.com/daily-shelf/products/2026-06-05-tiny-launch-checklist/support/go,support,https://gift.calmsprout.com,False,True,Small Business Ops|Digital Product Prep,https://x26dotapp.github.io/daily-autodigital-shelf/topics/small-business-ops.html|https://x26dotapp.github.io/daily-autodigital-shelf/topics/digital-product-prep.html,"digital download,printable worksheet,planner,checklist,low maintenance,tiny,launch",digital download,ready for external store import; checkout not connected
das-2026-06-04-micro-offer-pricing,Micro Offer Pricing Sheet,A simple worksheet for pricing a small digital or service offer without pretending the market is guaranteed.,Creators and service providers turning a small repeatable outcome into an offer.,$3 to $9 digital pack,USD,https://x26dotapp.github.io/daily-autodigital-shelf/downloads/2026-06-04-micro-offer-pricing.zip,https://x26dotapp.github.io/daily-autodigital-shelf/downloads/2026-06-04-micro-offer-pricing.html,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-06-04-micro-offer-pricing/,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-06-04-micro-offer-pricing/printable.html,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-06-04-micro-offer-pricing/checklist.html,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-06-04-micro-offer-pricing/cover.svg,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-06-04-micro-offer-pricing/seller-copy.md,https://x26dotapp.github.io/daily-autodigital-shelf/support.html,https://x26dotapp.github.io/daily-autodigital-shelf/pay-what-you-can.html,https://www.calmsprout.com/daily-shelf/products/2026-06-04-micro-offer-pricing,https://www.calmsprout.com/daily-shelf/products/2026-06-04-micro-offer-pricing/support,https://www.calmsprout.com/daily-shelf/products/2026-06-04-micro-offer-pricing/support/go,support,https://gift.calmsprout.com,False,True,Small Business Ops|Digital Product Prep,https://x26dotapp.github.io/daily-autodigital-shelf/topics/small-business-ops.html|https://x26dotapp.github.io/daily-autodigital-shelf/topics/digital-product-prep.html,"digital download,printable worksheet,planner,checklist,low maintenance,micro,offer,pricing,sheet",digital download,ready for external store import; checkout not connected
das-2026-06-03-weekly-reset,Weekly Reset Board,"A printable reset board for tasks, bills, errands, and loose ends that need one weekly review.",Busy households and solo workers who need one visible weekly reset page.,$3 to $9 digital pack,USD,https://x26dotapp.github.io/daily-autodigital-shelf/downloads/2026-06-03-weekly-reset.zip,https://x26dotapp.github.io/daily-autodigital-shelf/downloads/2026-06-03-weekly-reset.html,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-06-03-weekly-reset/,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-06-03-weekly-reset/printable.html,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-06-03-weekly-reset/checklist.html,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-06-03-weekly-reset/cover.svg,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-06-03-weekly-reset/seller-copy.md,https://x26dotapp.github.io/daily-autodigital-shelf/support.html,https://x26dotapp.github.io/daily-autodigital-shelf/pay-what-you-can.html,https://www.calmsprout.com/daily-shelf/products/2026-06-03-weekly-reset,https://www.calmsprout.com/daily-shelf/products/2026-06-03-weekly-reset/support,https://www.calmsprout.com/daily-shelf/products/2026-06-03-weekly-reset/support/go,support,https://gift.calmsprout.com,False,True,Home Admin|Digital Product Prep|Cleanup And Reset,https://x26dotapp.github.io/daily-autodigital-shelf/topics/home-admin.html|https://x26dotapp.github.io/daily-autodigital-shelf/topics/digital-product-prep.html|https://x26dotapp.github.io/daily-autodigital-shelf/topics/cleanup-and-reset.html,"digital download,printable worksheet,planner,checklist,low maintenance,weekly,reset,board",digital download,ready for external store import; checkout not connected
das-2026-06-02-one-page-sop,One-Page SOP Builder,A worksheet for documenting one repeatable task so someone else can follow it.,Small teams and solo operators who need process notes without a full operations manual.,$3 to $9 digital pack,USD,https://x26dotapp.github.io/daily-autodigital-shelf/downloads/2026-06-02-one-page-sop.zip,https://x26dotapp.github.io/daily-autodigital-shelf/downloads/2026-06-02-one-page-sop.html,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-06-02-one-page-sop/,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-06-02-one-page-sop/printable.html,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-06-02-one-page-sop/checklist.html,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-06-02-one-page-sop/cover.svg,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-06-02-one-page-sop/seller-copy.md,https://x26dotapp.github.io/daily-autodigital-shelf/support.html,https://x26dotapp.github.io/daily-autodigital-shelf/pay-what-you-can.html,https://www.calmsprout.com/daily-shelf/products/2026-06-02-one-page-sop,https://www.calmsprout.com/daily-shelf/products/2026-06-02-one-page-sop/support,https://www.calmsprout.com/daily-shelf/products/2026-06-02-one-page-sop/support/go,support,https://gift.calmsprout.com,False,True,Small Business Ops|Digital Product Prep,https://x26dotapp.github.io/daily-autodigital-shelf/topics/small-business-ops.html|https://x26dotapp.github.io/daily-autodigital-shelf/topics/digital-product-prep.html,"digital download,printable worksheet,planner,checklist,low maintenance,one,page,sop,builder",digital download,ready for external store import; checkout not connected
das-2026-06-01-listing-photo-checklist,Listing Photo Checklist,"A practical shot list for creating clearer marketplace, rental, or product listing photos.",People preparing simple listings who need better photos without hiring a photographer.,$3 to $9 digital pack,USD,https://x26dotapp.github.io/daily-autodigital-shelf/downloads/2026-06-01-listing-photo-checklist.zip,https://x26dotapp.github.io/daily-autodigital-shelf/downloads/2026-06-01-listing-photo-checklist.html,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-06-01-listing-photo-checklist/,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-06-01-listing-photo-checklist/printable.html,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-06-01-listing-photo-checklist/checklist.html,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-06-01-listing-photo-checklist/cover.svg,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-06-01-listing-photo-checklist/seller-copy.md,https://x26dotapp.github.io/daily-autodigital-shelf/support.html,https://x26dotapp.github.io/daily-autodigital-shelf/pay-what-you-can.html,https://www.calmsprout.com/daily-shelf/products/2026-06-01-listing-photo-checklist,https://www.calmsprout.com/daily-shelf/products/2026-06-01-listing-photo-checklist/support,https://www.calmsprout.com/daily-shelf/products/2026-06-01-listing-photo-checklist/support/go,support,https://gift.calmsprout.com,False,True,Small Business Ops|Digital Product Prep,https://x26dotapp.github.io/daily-autodigital-shelf/topics/small-business-ops.html|https://x26dotapp.github.io/daily-autodigital-shelf/topics/digital-product-prep.html,"digital download,printable worksheet,planner,checklist,low maintenance,listing,photo",digital download,ready for external store import; checkout not connected
das-2026-05-31-client-intake-lite,Client Intake Lite,"A small intake sheet for turning a vague request into scope, timeline, budget, and next action.",Service providers who need a repeatable first-call intake without a heavy CRM.,$3 to $9 digital pack,USD,https://x26dotapp.github.io/daily-autodigital-shelf/downloads/2026-05-31-client-intake-lite.zip,https://x26dotapp.github.io/daily-autodigital-shelf/downloads/2026-05-31-client-intake-lite.html,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-05-31-client-intake-lite/,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-05-31-client-intake-lite/printable.html,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-05-31-client-intake-lite/checklist.html,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-05-31-client-intake-lite/cover.svg,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-05-31-client-intake-lite/seller-copy.md,https://x26dotapp.github.io/daily-autodigital-shelf/support.html,https://x26dotapp.github.io/daily-autodigital-shelf/pay-what-you-can.html,https://www.calmsprout.com/daily-shelf/products/2026-05-31-client-intake-lite,https://www.calmsprout.com/daily-shelf/products/2026-05-31-client-intake-lite/support,https://www.calmsprout.com/daily-shelf/products/2026-05-31-client-intake-lite/support/go,support,https://gift.calmsprout.com,False,True,Small Business Ops|Home Admin|Digital Product Prep,https://x26dotapp.github.io/daily-autodigital-shelf/topics/small-business-ops.html|https://x26dotapp.github.io/daily-autodigital-shelf/topics/home-admin.html|https://x26dotapp.github.io/daily-autodigital-shelf/topics/digital-product-prep.html,"digital download,printable worksheet,planner,checklist,low maintenance,client,intake,lite",digital download,ready for external store import; checkout not connected
das-2026-05-30-appointment-prep,Appointment Prep Card,"A one-page prep card for collecting questions, documents, and follow-up notes before an appointment.",People who forget key questions or documents when appointments get stressful.,$3 to $9 digital pack,USD,https://x26dotapp.github.io/daily-autodigital-shelf/downloads/2026-05-30-appointment-prep.zip,https://x26dotapp.github.io/daily-autodigital-shelf/downloads/2026-05-30-appointment-prep.html,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-05-30-appointment-prep/,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-05-30-appointment-prep/printable.html,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-05-30-appointment-prep/checklist.html,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-05-30-appointment-prep/cover.svg,https://x26dotapp.github.io/daily-autodigital-shelf/packs/2026-05-30-appointment-prep/seller-copy.md,https://x26dotapp.github.io/daily-autodigital-shelf/support.html,https://x26dotapp.github.io/daily-autodigital-shelf/pay-what-you-can.html,https://www.calmsprout.com/daily-shelf/products/2026-05-30-appointment-prep,https://www.calmsprout.com/daily-shelf/products/2026-05-30-appointment-prep/support,https://www.calmsprout.com/daily-shelf/products/2026-05-30-appointment-prep/support/go,support,https://gift.calmsprout.com,False,True,Small Business Ops|Home Admin|Digital Product Prep,https://x26dotapp.github.io/daily-autodigital-shelf/topics/small-business-ops.html|https://x26dotapp.github.io/daily-autodigital-shelf/topics/home-admin.html|https://x26dotapp.github.io/daily-autodigital-shelf/topics/digital-product-prep.html,"digital download,printable worksheet,planner,checklist,low maintenance,appointment,prep,card",digital download,ready for external store import; checkout not connected
